Trail,P,V,Usafe,Pos,Loss,ChooseGamble,Judge,RT,Choice,session,seq,id
1,0.5,20,10,2,10,0,2,21.530592270322,1,2,0,101
2,0.5,40,20,1,20,0,2,6.4324728012955,0,2,0,101
3,0.6,50,30,2,20,0,1,1.28317472174072,0,2,0,101
4,0.6,50,30,2,20,0,2,1.4828976028647,1,2,0,101
5,0.5,20,10,1,10,0,1,1.81622998585895,1,2,0,101
6,0.5,40,20,1,20,0,2,3.06614787656236,0,2,0,101
1,0.5,20,10,1,10,0,2,3.64922480841164,0,2,1,101
2,0.6,50,30,2,20,0,1,2.64947113630143,0,2,1,101
3,0.6,50,30,2,20,0,1,1.79969266034121,0,2,1,101
4,0.5,40,20,1,20,0,2,1.54972316622571,0,2,1,101
5,0.5,40,20,2,20,0,1,1.21656326977466,0,2,1,101
6,0.5,20,10,1,10,0,2,0.766384796095247,0,2,1,101
1,0.5,40,20,1,20,0,2,1.44980470531886,0,2,2,101
2,0.5,40,20,1,20,0,2,1.69963991652222,0,2,2,101
3,0.6,50,30,2,20,0,1,1.53301677538546,0,2,2,101
4,0.5,20,10,1,10,0,2,0.783292753854575,0,2,2,101
5,0.6,50,30,2,20,0,1,1.16655842304534,0,2,2,101
6,0.5,20,10,2,10,0,1,0.799785033299881,0,2,2,101
1,0.5,40,20,2,20,1,1,2.24975167639814,0,4,0,101
2,0.5,20,10,1,10,1,2,1.19954725846182,0,4,0,101
3,0.6,50,30,1,20,1,2,1.16654559346775,0,4,0,101
4,0.5,20,10,2,10,1,1,0.516484011495302,0,4,0,101
5,0.5,40,20,2,20,1,1,1.28308462959584,0,4,0,101
6,0.6,50,30,1,20,1,2,1.133182704589,0,4,0,101
1,0.5,40,20,2,20,1,2,1.76642642094699,1,4,1,101
2,0.5,20,10,1,10,1,2,1.68285626311468,0,4,1,101
3,0.6,50,30,2,20,1,2,1.76649227944531,1,4,1,101
4,0.5,20,10,1,10,1,1,0.783221763525226,1,4,1,101
5,0.5,40,20,1,20,1,1,1.14975766353435,1,4,1,101
6,0.6,50,30,2,20,1,2,0.916290142322781,1,4,1,101
1,0.6,50,30,1,20,1,1,2.4493933035307,1,4,2,101
2,0.5,20,10,2,10,1,2,1.09994069884135,1,4,2,101
3,0.5,40,20,2,20,1,2,1.39972402153088,1,4,2,101
4,0.5,40,20,1,20,1,1,1.21643668460907,1,4,2,101
5,0.6,50,30,1,20,1,1,0.8830806381717,1,4,2,101
6,0.5,20,10,2,10,1,2,1.06634573715902,1,4,2,101
1,0.5,20,10,1,10,1,1,4.349190311103,1,2,0,102
2,0.6,50,30,2,20,1,2,1.63315362421312,1,2,0,102
3,0.5,40,20,2,20,1,2,4.49931461545479,1,2,0,102
4,0.5,20,10,1,10,1,1,6.2490272329167,1,2,0,102
5,0.5,40,20,1,20,1,1,3.83288391798194,1,2,0,102
6,0.6,50,30,2,20,1,2,1.31640589362284,1,2,0,102
1,0.5,40,20,1,20,1,1,1.86627332132105,1,2,1,102
2,0.6,50,30,1,20,1,1,1.79970491971535,1,2,1,102
3,0.5,20,10,2,10,1,2,1.46648771781772,1,2,1,102
4,0.5,20,10,2,10,1,2,1.78285227169054,1,2,1,102
5,0.5,40,20,1,20,1,1,2.11625650031931,1,2,1,102
6,0.6,50,30,2,20,1,2,1.01649912188669,1,2,1,102
1,0.5,40,20,1,20,1,1,1.46623426238482,1,2,2,102
2,0.5,40,20,1,20,1,1,1.48305155779582,1,2,2,102
3,0.5,20,10,2,10,1,2,3.03283744640088,1,2,2,102
4,0.6,50,30,2,20,1,2,1.5996550269136,1,2,2,102
5,0.6,50,30,2,20,1,2,1.38299995438372,1,2,2,102
6,0.5,20,10,1,10,1,1,1.36643811011769,1,2,2,102
1,0.6,50,30,1,20,0,1,2.11627531703312,1,4,0,102
2,0.5,40,20,2,20,0,2,1.14974825517745,1,4,0,102
3,0.5,40,20,2,20,0,2,1.51633946492108,1,4,0,102
4,0.5,20,10,1,10,0,1,1.08303587720099,1,4,0,102
5,0.6,50,30,2,20,0,2,2.1495857471946,1,4,0,102
6,0.5,20,10,1,10,0,1,2.08297600583888,1,4,0,102
1,0.6,50,30,1,20,0,2,1.19988538910683,0,4,1,102
2,0.5,20,10,2,10,0,1,0.916598622388468,0,4,1,102
3,0.5,40,20,1,20,0,2,0.799893086853389,0,4,1,102
4,0.6,50,30,1,20,0,2,2.08310116549585,0,4,1,102
5,0.5,40,20,2,20,0,1,1.04976507617918,0,4,1,102
6,0.5,20,10,2,10,0,1,0.78309460815619,0,4,1,102
1,0.5,40,20,1,20,0,2,0.833176147249339,0,4,2,102
2,0.5,40,20,2,20,0,1,1.23302589864064,0,4,2,102
3,0.5,20,10,1,10,0,2,0.683028464556154,0,4,2,102
4,0.6,50,30,2,20,0,1,1.09967099261016,0,4,2,102
5,0.5,20,10,1,10,0,2,1.19970577502053,0,4,2,102
6,0.6,50,30,2,20,0,1,1.21642242952285,0,4,2,102
1,0.6,50,30,1,20,0,1,33.0623289389654,1,2,0,103
2,0.5,20,10,2,10,0,1,1.7664734627315,0,2,0,103
3,0.5,40,20,1,20,0,2,1.78309403795274,0,2,0,103
4,0.5,40,20,2,20,0,1,1.81630354210382,0,2,0,103
5,0.5,20,10,1,10,0,2,2.79948282547213,0,2,0,103
6,0.6,50,30,2,20,0,1,0.83305212799927,0,2,0,103
1,0.6,50,30,1,20,0,2,2.49946457896177,0,2,1,103
2,0.5,20,10,1,10,0,2,1.63318755131831,0,2,1,103
3,0.5,40,20,2,20,0,1,1.7662915678314,0,2,1,103
4,0.5,20,10,1,10,0,2,1.3829774313475,0,2,1,103
5,0.5,40,20,2,20,0,1,1.5831732962321,0,2,1,103
6,0.6,50,30,2,20,0,1,2.3162539344038,0,2,1,103
1,0.6,50,30,1,20,0,2,4.39923279125992,0,2,2,103
2,0.5,20,10,2,10,0,1,1.24972801295502,0,2,2,103
3,0.5,40,20,1,20,0,2,1.13302960496305,0,2,2,103
4,0.5,40,20,2,20,0,1,0.78301363926649,0,2,2,103
5,0.6,50,30,1,20,0,2,1.6995951555515,0,2,2,103
6,0.5,20,10,2,10,0,1,0.88309061673205,0,2,2,103
1,0.5,20,10,2,10,1,1,5.13251642185932,0,4,0,103
2,0.6,50,30,1,20,1,2,1.39964333774291,0,4,0,103
3,0.5,20,10,2,10,1,1,1.76653846592464,0,4,0,103
4,0.6,50,30,1,20,1,2,0.616492849648755,0,4,0,103
5,0.5,40,20,2,20,1,1,0.916451795000456,0,4,0,103
6,0.5,40,20,1,20,1,2,0.68331698750114,0,4,0,103
1,0.5,20,10,2,10,1,2,0.64977762065505,1,4,1,103
2,0.6,50,30,1,20,1,1,0.849734570294681,1,4,1,103
3,0.5,40,20,1,20,1,1,1.03313851382173,1,4,1,103
4,0.5,40,20,2,20,1,2,0.71642214442113,1,4,1,103
5,0.6,50,30,2,20,1,2,0.999737421311924,1,4,1,103
6,0.5,20,10,1,10,1,1,0.849803850013685,1,4,1,103
1,0.5,40,20,1,20,1,1,0.849744548855031,1,4,2,103
2,0.6,50,30,2,20,1,2,1.95000769774656,1,4,2,103
3,0.5,40,20,1,20,1,1,0.766434403795274,1,4,2,103
4,0.5,20,10,1,10,1,1,0.849601142687711,1,4,2,103
5,0.5,20,10,2,10,1,2,0.9332625330718,1,4,2,103
6,0.6,50,30,2,20,1,2,0.916599762795365,1,4,2,103
1,0.5,20,10,2,10,1,1,6.48227665130919,0,2,0,104
2,0.5,40,20,1,20,1,2,2.3996162530791,0,2,0,104
3,0.5,40,20,2,20,1,1,1.96633091186936,0,2,0,104
4,0.5,20,10,1,10,1,2,2.11624880257276,0,2,0,104
5,0.6,50,30,1,20,1,1,1.84964761426877,1,2,0,104
6,0.6,50,30,2,20,1,2,2.13291784508713,1,2,0,104
1,0.5,20,10,2,10,1,2,2.46651964921084,1,2,1,104
2,0.5,20,10,2,10,1,2,2.16630582291762,1,2,1,104
3,0.5,40,20,1,20,1,1,1.58298256317854,1,2,1,104
4,0.6,50,30,2,20,1,2,1.53302105191132,1,2,1,104
5,0.5,40,20,1,20,1,1,1.23303901331995,1,2,1,104
6,0.6,50,30,1,20,1,1,0.899922167229267,1,2,1,104
1,0.5,20,10,2,10,1,2,2.18297201441474,1,2,2,104
2,0.6,50,30,2,20,1,2,1.09967926056017,1,2,2,104
3,0.5,40,20,1,20,1,1,1.14975538272055,1,2,2,104
4,0.6,50,30,2,20,1,2,1.19973628090503,1,2,2,104
5,0.5,20,10,1,10,1,1,1.13304870677858,1,2,2,104
6,0.5,40,20,1,20,1,1,0.899832930389563,1,2,2,104
1,0.5,40,20,2,20,0,2,1.91626790438829,1,4,0,104
2,0.5,20,10,2,10,0,2,0.916417867895265,1,4,0,104
3,0.6,50,30,1,20,0,1,2.39979045023264,1,4,0,104
4,0.5,20,10,2,10,0,2,0.666645379071253,1,4,0,104
5,0.5,40,20,1,20,0,1,1.38327593285284,1,4,0,104
6,0.6,50,30,1,20,0,1,1.08292411732506,1,4,0,104
1,0.5,20,10,2,10,0,2,3.71623369218137,1,4,1,104
2,0.5,40,20,1,20,0,2,3.1494132606514,0,4,1,104
3,0.6,50,30,1,20,0,2,1.46644922908494,0,4,1,104
4,0.6,50,30,1,20,0,2,1.23300765213028,0,4,1,104
5,0.5,20,10,2,10,0,2,1.84962224021531,1,4,1,104
6,0.5,40,20,2,20,0,1,1.51627303621932,0,4,1,104
1,0.5,20,10,2,10,0,1,1.33323003147523,0,4,2,104
2,0.6,50,30,2,20,0,1,1.23303359638719,0,4,2,104
3,0.5,40,20,1,20,0,2,1.44966472037223,0,4,2,104
4,0.5,40,20,2,20,0,1,2.08299681826476,0,4,2,104
5,0.5,20,10,1,10,0,2,1.58302219231822,0,4,2,104
6,0.6,50,30,1,20,0,2,1.11662513684883,0,4,2,104
1,0.6,50,30,2,20,0,1,2.93278783870085,0,2,0,105
2,0.5,40,20,2,20,0,2,2.34964162713256,1,2,0,105
3,0.5,20,10,1,10,0,1,3.63271428245598,1,2,0,105
4,0.5,40,20,1,20,0,1,1.49971632378433,1,2,0,105
5,0.5,20,10,1,10,0,1,1.88295490831129,1,2,0,105
6,0.6,50,30,2,20,0,1,3.48274450323876,0,2,0,105
1,0.5,20,10,1,10,0,2,2.48284799516467,0,2,1,105
2,0.5,40,20,1,20,0,2,4.19935082337378,0,2,1,105
3,0.6,50,30,2,20,0,1,2.01630411230727,0,2,1,105
4,0.5,20,10,2,10,0,1,2.84953186296871,0,2,1,105
5,0.5,40,20,1,20,0,2,1.99966643098257,0,2,1,105
6,0.6,50,30,2,20,0,1,2.682930389563,0,2,1,105
1,0.5,20,10,1,10,0,2,0.816476313748746,0,2,2,105
2,0.5,20,10,2,10,0,1,0.94983606650853,0,2,2,105
3,0.6,50,30,1,20,0,2,1.299694941155,0,2,2,105
4,0.5,40,20,1,20,0,2,1.69961967429979,0,2,2,105
5,0.6,50,30,2,20,0,1,1.13303217087857,0,2,2,105
6,0.5,40,20,2,20,0,1,1.34967441383085,0,2,2,105
1,0.5,20,10,1,10,1,2,1.23321634659246,0,4,0,105
2,0.5,40,20,2,20,1,1,0.716438395219414,0,4,0,105
3,0.6,50,30,2,20,1,1,1.64970349420673,0,4,0,105
4,0.5,40,20,1,20,1,2,0.899948681689627,0,4,0,105
5,0.6,50,30,2,20,1,1,1.08321577638902,0,4,0,105
6,0.5,20,10,1,10,1,2,1.05000342122069,0,4,0,105
1,0.5,20,10,2,10,1,2,0.999862295867165,1,4,1,105
2,0.5,40,20,2,20,1,2,1.39989109114132,1,4,1,105
3,0.6,50,30,1,20,1,1,1.71632920125901,1,4,1,105
4,0.5,40,20,2,20,1,2,1.13301905619925,1,4,1,105
5,0.5,20,10,1,10,1,1,1.79973342988778,1,4,1,105
6,0.6,50,30,1,20,1,1,2.29952787154457,1,4,1,105
1,0.5,40,20,1,20,1,1,1.09972088541191,1,4,2,105
2,0.6,50,30,2,20,1,2,1.59968524769638,1,4,2,105
3,0.5,20,10,2,10,1,2,1.9998263730499,1,4,2,105
4,0.5,40,20,1,20,1,1,1.53306410227169,1,4,2,105
5,0.5,20,10,1,10,1,1,1.86670211431439,1,4,2,105
6,0.6,50,30,2,20,1,2,1.41639876607974,1,4,2,105
1,0.6,50,30,1,20,1,2,3.11600931712435,0,2,0,106
2,0.5,20,10,2,10,1,1,17.7309013205912,0,2,0,106
3,0.5,40,20,2,20,1,1,5.81578722288112,0,2,0,106
4,0.5,20,10,1,10,1,2,16.7310301865706,0,2,0,106
5,0.6,50,30,1,20,1,2,4.66598451327434,0,2,0,106
6,0.5,40,20,2,20,1,1,2.79947085119971,0,2,0,106
1,0.5,20,10,2,10,1,1,12.8481887487456,0,2,1,106
2,0.5,40,20,1,20,1,1,6.2156977009397,1,2,1,106
3,0.5,40,20,1,20,1,1,1.71629014232278,1,2,1,106
4,0.6,50,30,1,20,1,2,7.58224814113676,0,2,1,106
5,0.5,20,10,2,10,1,1,1.54964846957394,0,2,1,106
6,0.6,50,30,2,20,1,2,5.68235505428337,1,2,1,106
1,0.5,20,10,2,10,1,2,2.6662821594745,1,2,2,106
2,0.5,20,10,1,10,1,2,4.36598394307089,0,2,2,106
3,0.6,50,30,2,20,1,2,6.86569827114314,1,2,2,106
4,0.5,40,20,2,20,1,2,4.09933742359274,1,2,2,106
5,0.6,50,30,1,20,1,1,2.56618779080376,1,2,2,106
6,0.5,40,20,1,20,1,1,14.2482263821732,1,2,2,106
1,0.5,40,20,1,20,0,2,6.96552892071891,0,4,0,106
2,0.5,20,10,2,10,0,2,2.49951618237387,1,4,0,106
3,0.5,40,20,2,20,0,1,4.39939529924277,0,4,0,106
4,0.5,20,10,2,10,0,1,0.749803564911961,0,4,0,106
5,0.6,50,30,1,20,0,1,3.84957206231183,1,4,0,106
6,0.6,50,30,1,20,0,2,1.69970206869811,0,4,0,106
1,0.6,50,30,1,20,0,2,1.98294236383542,0,4,1,106
2,0.5,20,10,2,10,0,1,1.46658436730225,0,4,1,106
3,0.6,50,30,2,20,0,1,2.23294407444576,0,4,1,106
4,0.5,20,10,1,10,0,2,1.96631722698659,0,4,1,106
5,0.5,40,20,2,20,0,1,2.24975737843262,0,4,1,106
6,0.5,40,20,1,20,0,1,3.49949993157559,1,4,1,106
1,0.5,40,20,1,20,0,2,1.98299054602682,0,4,2,106
2,0.6,50,30,2,20,0,1,2.01629755496761,0,4,2,106
3,0.5,20,10,1,10,0,2,3.11608886050543,0,4,2,106
4,0.6,50,30,2,20,0,1,6.08263816029559,0,4,2,106
5,0.5,40,20,2,20,0,1,1.6330700894079,0,4,2,106
6,0.5,20,10,1,10,0,2,1.93294521485266,0,4,2,106
1,0.5,20,10,1,10,0,1,2.4663924938418,1,2,0,107
2,0.5,40,20,1,20,0,2,3.43274564364565,0,2,0,107
3,0.5,20,10,1,10,0,1,6.78237814752304,1,2,0,107
4,0.6,50,30,2,20,0,2,1.86651309187118,1,2,0,107
5,0.6,50,30,2,20,0,2,2.2995469733601,1,2,0,107
6,0.5,40,20,2,20,0,1,2.13305070249065,0,2,0,107
1,0.6,50,30,1,20,0,2,1.81634602226074,0,2,1,107
2,0.6,50,30,2,20,0,1,1.83288135206642,0,2,1,107
3,0.5,20,10,1,10,0,2,0.883083774290667,0,2,1,107
4,0.5,20,10,2,10,0,1,1.01635229449868,0,2,1,107
5,0.5,40,20,1,20,0,2,0.982935806495758,0,2,1,107
6,0.5,40,20,2,20,0,2,2.14979073533437,1,2,1,107
1,0.6,50,30,1,20,0,2,2.03292953425782,0,2,2,107
2,0.5,40,20,1,20,0,2,1.53297401012681,0,2,2,107
3,0.6,50,30,2,20,0,1,1.44988538910683,0,2,2,107
4,0.5,20,10,2,10,0,1,0.699775339841255,0,2,2,107
5,0.5,20,10,2,10,0,1,0.883083489188943,0,2,2,107
6,0.5,40,20,1,20,0,2,1.11642556564182,0,2,2,107
1,0.5,20,10,2,10,1,1,0.699701213392939,0,4,0,107
2,0.5,40,20,2,20,1,1,0.84976963780677,0,4,0,107
3,0.6,50,30,1,20,1,2,1.19995866024998,0,4,0,107
4,0.6,50,30,1,20,1,2,1.19970720052915,0,4,0,107
5,0.5,40,20,1,20,1,2,0.966401046893532,0,4,0,107
6,0.5,20,10,2,10,1,1,0.666546733874646,0,4,0,107
1,0.6,50,30,2,20,1,2,1.26639448955387,1,4,1,107
2,0.6,50,30,1,20,1,1,1.06633860961591,1,4,1,107
3,0.5,20,10,1,10,1,2,2.11630724842624,0,4,1,107
4,0.5,40,20,2,20,1,1,0.783111999361372,0,4,1,107
5,0.5,40,20,2,20,1,1,1.33313965422863,0,4,1,107
6,0.5,20,10,1,10,1,2,0.733015920080285,0,4,1,107
1,0.5,20,10,2,10,1,1,1.98293238527507,0,4,2,107
2,0.6,50,30,2,20,1,2,1.34980983714989,1,4,2,107
3,0.6,50,30,1,20,1,1,2.232877645744,1,4,2,107
4,0.5,20,10,2,10,1,1,2.66634402654867,0,4,2,107
5,0.5,40,20,1,20,1,1,1.9162704703038,1,4,2,107
6,0.5,40,20,1,20,1,1,1.36630781862969,1,4,2,107
1,0.6,50,30,2,20,1,1,3.56612841423181,0,2,0,108
2,0.5,40,20,2,20,1,1,1.24967783541895,0,2,0,108
3,0.6,50,30,1,20,1,2,5.26589126688798,0,2,0,108
4,0.5,20,10,1,10,1,2,1.56638443528825,0,2,0,108
5,0.5,20,10,2,10,1,1,1.33304233983859,0,2,0,108
6,0.5,40,20,1,20,1,2,2.28297425762447,0,2,0,108
1,0.6,50,30,1,20,1,1,1.14963575445243,1,2,1,108
2,0.5,20,10,2,10,1,2,1.44991880312152,1,2,1,108
3,0.5,40,20,1,20,1,1,1.64966854111333,1,2,1,108
4,0.6,50,30,2,20,1,2,2.28310141284849,1,2,1,108
5,0.5,20,10,1,10,1,1,1.71621120767812,1,2,1,108
6,0.5,40,20,2,20,1,2,6.39888764838102,1,2,1,108
1,0.5,40,20,1,20,1,1,0.883073358870816,1,2,2,108
2,0.5,40,20,2,20,1,2,1.23302905411339,1,2,2,108
3,0.5,20,10,2,10,1,2,1.19975201880301,1,2,2,108
4,0.5,20,10,1,10,1,1,0.516518489966141,1,2,2,108
5,0.6,50,30,1,20,1,1,1.14972898260996,1,2,2,108
6,0.6,50,30,2,20,1,2,0.799735368881296,1,2,2,108
1,0.5,20,10,2,10,0,1,1.19991937332432,0,4,0,108
2,0.5,40,20,2,20,0,1,0.566323138487434,0,4,0,108
3,0.6,50,30,1,20,0,2,0.8830448487309,0,4,0,108
4,0.5,40,20,2,20,0,1,1.01661086281947,0,4,0,108
5,0.6,50,30,1,20,0,1,2.88287834951379,1,4,0,108
6,0.5,20,10,1,10,0,2,0.633223037105377,0,4,0,108
1,0.5,40,20,2,20,0,1,1.1331121326611,0,4,1,108
2,0.6,50,30,2,20,0,1,1.29967891880426,0,4,1,108
3,0.5,20,10,2,10,0,1,0.683169951224853,0,4,1,108
4,0.5,20,10,1,10,0,2,0.799785546727549,0,4,1,108
5,0.5,40,20,1,20,0,2,0.533190649586432,0,4,1,108
6,0.6,50,30,1,20,0,2,1.53310911058627,0,4,1,108
1,0.5,40,20,1,20,0,2,0.666673984269245,0,4,2,108
2,0.6,50,30,1,20,0,2,2.01625448607052,0,4,2,108
3,0.5,20,10,2,10,0,1,0.449963849142586,0,4,2,108
4,0.6,50,30,2,20,0,1,0.966468654241568,0,4,2,108
5,0.5,40,20,2,20,0,1,0.700021439625217,0,4,2,108
6,0.5,20,10,1,10,0,2,0.633076209884808,0,4,2,108
1,0.5,40,20,1,20,0,2,2.91618674597807,0,2,0,109
2,0.6,50,30,1,20,0,2,1.64987324391793,0,2,0,109
3,0.6,50,30,2,20,0,1,3.08297733671958,0,2,0,109
4,0.5,20,10,2,10,0,1,1.24972088573022,0,2,0,109
5,0.5,40,20,1,20,0,2,1.61633277491473,0,2,0,109
6,0.5,20,10,2,10,0,2,1.48304045816935,1,2,0,109
1,0.5,40,20,2,20,0,1,1.53322030013194,0,2,1,109
2,0.5,20,10,2,10,0,1,1.46637970260503,0,2,1,109
3,0.5,20,10,1,10,0,2,3.16604989730648,0,2,1,109
4,0.6,50,30,1,20,0,2,1.39991230280962,0,2,1,109
5,0.6,50,30,2,20,0,1,1.29991897418236,0,2,1,109
6,0.5,40,20,1,20,0,2,1.31631629605385,0,2,1,109
1,0.6,50,30,2,20,0,1,4.78272621940719,0,2,2,109
2,0.6,50,30,1,20,0,2,0.883072218465219,0,2,2,109
3,0.5,20,10,2,10,0,1,1.64969591084765,0,2,2,109
4,0.5,40,20,1,20,0,2,0.899429626140833,0,2,2,109
5,0.5,20,10,2,10,0,1,0.982946089606229,0,2,2,109
6,0.5,40,20,1,20,0,2,0.883213058556406,0,2,2,109
1,0.5,40,20,2,20,1,1,2.69950854220812,0,4,0,109
2,0.6,50,30,2,20,1,1,0.550033299843422,0,4,0,109
3,0.6,50,30,1,20,1,2,0.766648781305559,0,4,0,109
4,0.5,40,20,1,20,1,2,0.733087214798815,0,4,0,109
5,0.5,20,10,1,10,1,2,0.6832902640153,0,4,0,109
6,0.5,20,10,2,10,1,1,0.56646112756463,0,4,0,109
1,0.5,20,10,1,10,1,1,1.46630614644404,1,4,1,109
2,0.5,40,20,2,20,1,2,0.96658383520683,1,4,1,109
3,0.5,40,20,1,20,1,1,1.48308835520441,1,4,1,109
4,0.6,50,30,1,20,1,1,4.1329071447551,1,4,1,109
5,0.6,50,30,2,20,1,2,3.24947569852694,1,4,1,109
6,0.5,20,10,2,10,1,2,1.18320273788576,1,4,1,109
1,0.6,50,30,1,20,1,2,1.16642993747156,0,4,2,109
2,0.6,50,30,2,20,1,1,0.849808297819202,0,4,2,109
3,0.5,20,10,1,10,1,1,5.36587889348726,1,4,2,109
4,0.5,40,20,2,20,1,2,0.966646272413247,1,4,2,109
5,0.5,20,10,1,10,1,1,1.09959988869641,1,4,2,109
6,0.5,40,20,2,20,1,2,0.700031703275587,1,4,2,109
1,0.5,20,10,1,10,1,2,5.98241294998979,0,2,0,110
2,0.5,20,10,1,10,1,2,2.51617950440254,0,2,0,110
3,0.5,40,20,2,20,1,1,2.71630443583565,0,2,0,110
4,0.6,50,30,2,20,1,1,4.4328144297801,0,2,0,110
5,0.5,40,20,1,20,1,2,0.916404563447036,0,2,0,110
